"county","precinct","office","district","party","candidate","votes"
"ALBEMARLE COUNTY","ALBEMARLE COUNTY PROVISIONALS","U.S. House","7","DEM","Eugene S. Vindman","1"
"ALEXANDRIA CITY","101 - OLD TOWN NORTH","U.S. House","8","IND","Bentley F. Hensel","20"
"ALEXANDRIA CITY","101 - OLD TOWN NORTH","U.S. House","8","IND","David R. Kennedy","49"
"ALEXANDRIA CITY","101 - OLD TOWN NORTH","U.S. House","8","DEM","Donald S. Beyer, Jr.","2140"
"ALEXANDRIA CITY","101 - OLD TOWN NORTH","U.S. House","8","REP","Jerry W. Torres","678"
"ALEXANDRIA CITY","101 - OLD TOWN NORTH","U.S. House","8","","Write-Ins","8"
"ALEXANDRIA CITY","102 - CITY HALL","U.S. House","8","IND","Bentley F. Hensel","6"
"ALEXANDRIA CITY","102 - CITY HALL","U.S. House","8","IND","David R. Kennedy","35"
"ALEXANDRIA CITY","102 - CITY HALL","U.S. House","8","DEM","Donald S. Beyer, Jr.","1671"
"ALEXANDRIA CITY","102 - CITY HALL","U.S. House","8","REP","Jerry W. Torres","746"
"ALEXANDRIA CITY","102 - CITY HALL","U.S. House","8","","Write-Ins","5"
"ALEXANDRIA CITY","103 - LYLES CROUCH SCHOOL","U.S. House","8","IND","Bentley F. Hensel","22"
"ALEXANDRIA CITY","103 - LYLES CROUCH SCHOOL","U.S. House","8","IND","David R. Kennedy","53"
"ALEXANDRIA CITY","103 - LYLES CROUCH SCHOOL","U.S. House","8","DEM","Donald S. Beyer, Jr.","2083"
"ALEXANDRIA CITY","103 - LYLES CROUCH SCHOOL","U.S. House","8","REP","Jerry W. Torres","763"
"ALEXANDRIA CITY","103 - LYLES CROUCH SCHOOL","U.S. House","8","","Write-Ins","5"
"ALEXANDRIA CITY","104 - DURANT CENTER","U.S. House","8","IND","Bentley F. Hensel","29"
"ALEXANDRIA CITY","104 - DURANT CENTER","U.S. House","8","IND","David R. Kennedy","56"
"ALEXANDRIA CITY","104 - DURANT CENTER","U.S. House","8","DEM","Donald S. Beyer, Jr.","1834"
"ALEXANDRIA CITY","104 - DURANT CENTER","U.S. House","8","REP","Jerry W. Torres","492"
"ALEXANDRIA CITY","104 - DURANT CENTER","U.S. House","8","","Write-Ins","9"
"ALEXANDRIA CITY","105 - LEE CENTER","U.S. House","8","IND","Bentley F. Hensel","24"
"ALEXANDRIA CITY","105 - LEE CENTER","U.S. House","8","IND","David R. Kennedy","47"
"ALEXANDRIA CITY","105 - LEE CENTER","U.S. House","8","DEM","Donald S. Beyer, Jr.","1669"
"ALEXANDRIA CITY","105 - LEE CENTER","U.S. House","8","REP","Jerry W. Torres","473"
"ALEXANDRIA CITY","105 - LEE CENTER","U.S. House","8","","Write-Ins","3"
"ALEXANDRIA CITY","106 - CORA KELLY","U.S. House","8","IND","Bentley F. Hensel","48"
"ALEXANDRIA CITY","106 - CORA KELLY","U.S. House","8","IND","David R. Kennedy","76"
"ALEXANDRIA CITY","106 - CORA KELLY","U.S. House","8","DEM","Donald S. Beyer, Jr.","2380"
"ALEXANDRIA CITY","106 - CORA KELLY","U.S. House","8","REP","Jerry W. Torres","495"
"ALEXANDRIA CITY","106 - CORA KELLY","U.S. House","8","","Write-Ins","8"
"ALEXANDRIA CITY","107 - MT VERNON RECREATION CENTER","U.S. House","8","IND","Bentley F. Hensel","24"
"ALEXANDRIA CITY","107 - MT VERNON RECREATION CENTER","U.S. House","8","IND","David R. Kennedy","49"
"ALEXANDRIA CITY","107 - MT VERNON RECREATION CENTER","U.S. House","8","DEM","Donald S. Beyer, Jr.","2996"
"ALEXANDRIA CITY","107 - MT VERNON RECREATION CENTER","U.S. House","8","REP","Jerry W. Torres","505"
"ALEXANDRIA CITY","107 - MT VERNON RECREATION CENTER","U.S. House","8","","Write-Ins","13"
"ALEXANDRIA CITY","108 - GEORGE WASHINGTON MIDDLE SCH","U.S. House","8","IND","Bentley F. Hensel","30"
"ALEXANDRIA CITY","108 - GEORGE WASHINGTON MIDDLE SCH","U.S. House","8","IND","David R. Kennedy","54"
"ALEXANDRIA CITY","108 - GEORGE WASHINGTON MIDDLE SCH","U.S. House","8","DEM","Donald S. Beyer, Jr.","2850"
"ALEXANDRIA CITY","108 - GEORGE WASHINGTON MIDDLE SCH","U.S. House","8","REP","Jerry W. Torres","557"
"ALEXANDRIA CITY","108 - GEORGE WASHINGTON MIDDLE SCH","U.S. House","8","","Write-Ins","8"
"ALEXANDRIA CITY","109 - FIRE DEPARTMENT HEADQUARTERS","U.S. House","8","IND","Bentley F. Hensel","21"
"ALEXANDRIA CITY","109 - FIRE DEPARTMENT HEADQUARTERS","U.S. House","8","IND","David R. Kennedy","35"
"ALEXANDRIA CITY","109 - FIRE DEPARTMENT HEADQUARTERS","U.S. House","8","DEM","Donald S. Beyer, Jr.","1595"
"ALEXANDRIA CITY","109 - FIRE DEPARTMENT HEADQUARTERS","U.S. House","8","REP","Jerry W. Torres","496"
"ALEXANDRIA CITY","109 - FIRE DEPARTMENT HEADQUARTERS","U.S. House","8","","Write-Ins","5"
"ALEXANDRIA CITY","110 - CHARLES HOUSTON CENTER","U.S. House","8","IND","Bentley F. Hensel","49"
"ALEXANDRIA CITY","110 - CHARLES HOUSTON CENTER","U.S. House","8","IND","David R. Kennedy","80"
"ALEXANDRIA CITY","110 - CHARLES HOUSTON CENTER","U.S. House","8","DEM","Donald S. Beyer, Jr.","2584"
"ALEXANDRIA CITY","110 - CHARLES HOUSTON CENTER","U.S. House","8","REP","Jerry W. Torres","573"
"ALEXANDRIA CITY","110 - CHARLES HOUSTON CENTER","U.S. House","8","","Write-Ins","5"
"ALEXANDRIA CITY","111 - POTOMAC YARD","U.S. House","8","IND","Bentley F. Hensel","17"
"ALEXANDRIA CITY","111 - POTOMAC YARD","U.S. House","8","IND","David R. Kennedy","38"
"ALEXANDRIA CITY","111 - POTOMAC YARD","U.S. House","8","DEM","Donald S. Beyer, Jr.","1148"
