block_geoid20,total_population_2020,voting_age_population_2020
510010906002021,0,0
510010906002022,0,0
510010906002023,0,0
510010906002024,18,17
510010906002025,0,0
510010906002026,12,10
510010906002027,5,5
510010906002028,8,2
510010906002029,0,0
510010906002030,23,23
510010906002031,8,7
510010906002032,6,5
510010906002033,10,8
510010906002034,8,7
510010906002035,35,32
510010906002036,15,15
510010906002037,10,9
510010906002038,15,12
510010906002039,88,80
510010906002040,6,5
510010906002041,0,0
510010906002042,0,0
510010906002043,0,0
510010906002044,54,51
510010906002045,34,29
510010906002046,0,0
510010906002047,0,0
510010906002048,40,36
510010906002049,21,20
510010906002050,27,23
510010906002051,50,36
510010906002052,10,6
510010906002053,97,85
510010906002054,14,14
510010906002055,0,0
510010906002056,0,0
510010906002057,0,0
510010906002058,47,44
510010906002059,0,0
510010906002060,0,0
510010906002061,0,0
510010906002062,123,116
510010906002063,0,0
510010906002064,0,0
510010906002065,50,45
510010906002066,7,3
510010906002067,11,10
510010906002068,54,49
510010906002069,11,11
510010906002070,3,3
510010906002071,43,29
510010906002072,8,4
510010906002073,1,1
510010906002074,0,0
510010906002075,6,5
510010906002076,3,3
510010906002077,6,4
510010906002078,17,15
510010906002079,0,0
510010906002080,15,8
510010906002081,0,0
510010906003000,107,81
510010906003001,19,18
510010906003002,12,12
510010906003003,54,52
510010906003004,11,7
510010906003005,69,55
510010906003006,0,0
510010906003007,18,15
510010906003008,13,10
510010906003009,12,12
510010906003010,45,33
510010906003011,30,21
510010906003012,35,28
510010906003013,27,24
510010906003014,28,19
510010906003015,26,21
510010906003016,23,21
510010906003017,67,46
510010906003018,19,16
510010906003019,109,80
510010906003020,37,22
510010906003021,29,26
510010906003022,28,20
510010906003023,44,43
510010906003024,10,8
510010906003025,0,0
510010906003026,2,2
510010906003027,14,13
510010906003028,4,2
510010906003029,43,43
510010906003030,6,5
510010906003031,25,25
510010906003032,32,22
510010906003033,20,19
510010906003034,8,7
510010906003035,23,22
510010906003036,16,11
510010906003037,21,20
510010906003038,20,16
510010906003039,29,23
510010906003040,2,2
510010906003041,0,0
510010906003042,0,0
510010906004000,0,0
