County/City,Ward,Pct,"Mark R. Warner","James Jim S. Gilmore, III","Glenda Gail Parker","William B. Redpath","All Others","Total Votes Cast"
,,,Democratic,Republican,Independent,Libertarian
"Augusta County",-,"601 - Sherando (CD 6)",467,566,4,1,2,"1,040"
"Augusta County",-,"602 - Stuarts Draft (CD 6)","1,102","1,285",12,11,1,"2,411"
"Augusta County",-,"603 - Lyndhurst (CD 6)",545,634,4,8,0,"1,191"
"Augusta County",-,"801 - Dooms (CD 6)",576,713,8,9,0,"1,306"
"Augusta County",-,"802 - Fishersville (CD 6)","1,171","1,232",16,18,1,"2,438"
"Augusta County",-,"803 - Wilson (CD 6)",753,671,10,12,0,"1,446"
"Augusta County",-,"Ab - Central Absentee Precinct (CD 6)","1,194","1,137",20,31,0,"2,382"
"Augusta County",-,"Provisional Votes (CD 6)",6,7,0,0,0,13
"Bath County",-,"101 - Warm Springs (CD 6)",215,124,3,1,1,344
"Bath County",-,"102 - Mountain Grove (CD 6)",38,39,3,0,0,80
"Bath County",-,"201 - Hot Springs (CD 6)",320,98,1,0,0,419
"Bath County",-,"301 - Fairview (CD 6)",173,142,2,2,0,319
"Bath County",-,"302 - Burnsville (CD 6)",49,47,1,0,0,97
"Bath County",-,"401 - Millboro (CD 6)",310,154,2,0,0,466
"Bath County",-,"501 - Healing Springs (CD 6)",302,142,2,3,0,449
"Bath County",-,"Ab - Central Absentee Precinct (CD 6)",137,75,1,2,1,216
"Bath County",-,"Provisional Votes (CD 6)",0,0,0,0,0,0
"Bedford County",-,"101 - Goodview Elem School (CD 5)","1,412","1,170",11,13,0,"2,606"
"Bedford County",-,"102 - Hardy Fire & Rescue Bldg (CD 5)",395,306,0,1,0,702
"Bedford County",-,"103 - Chamblissburg First Aid Bldg (CD 5)",355,283,2,0,1,641
"Bedford County",-,"202 - Staunton River High School (CD 5)",588,464,3,2,0,"1,057"
"Bedford County",-,"203 - Moneta Elem School (CD 5)","1,060",910,7,13,1,"1,991"
"Bedford County",-,"204 - Body Camp Elem School (CD 5)",225,105,4,1,0,335
