County/City,Ward,Pct,"Timothy Michael Kaine","George Felix Allen","All Others","Total Votes Cast"
"Fairfax County",-,"705 - Graham - Greenway (CD 8)","1,632",740,9,"2,381"
"Fairfax County",-,"707 - Mantua (CD 11)",902,580,5,"1,487"
"Fairfax County",-,"708 - Marshall (CD 8)","2,108",984,11,"3,103"
"Fairfax County",-,"709 - Mosby (CD 11)","1,423",667,5,"2,095"
"Fairfax County",-,"710 - Pine Spring (CD 8)","1,111",510,7,"1,628"
"Fairfax County",-,"711 - Price (CD 11)",848,490,4,"1,342"
"Fairfax County",-,"712 - Shreve (CD 8)",687,335,1,"1,023"
"Fairfax County",-,"713 - Timber Lane (CD 8)","1,492",618,7,"2,117"
"Fairfax County",-,"714 - Walker (CD 11)","1,435",845,8,"2,288"
"Fairfax County",-,"717 - Woodburn (CD 11)",849,480,1,"1,330"
"Fairfax County",-,"718 - Pine Ridge (CD 11)",952,556,4,"1,512"
"Fairfax County",-,"719 - Stenwood (CD 11)",433,311,1,745
"Fairfax County",-,"720 - Thoreau (CD 11)",720,525,3,"1,248"
"Fairfax County",-,"721 - Merrifield (CD 11)","1,728",790,9,"2,527"
"Fairfax County",-,"726 - Magarity (CD 8)","1,490",777,10,"2,277"
"Fairfax County",-,"727 - Oakton (CD 11)",888,837,2,"1,727"
"Fairfax County",-,"729 - Nottoway (CD 11)","1,516",889,6,"2,411"
"Fairfax County",-,"730 - Penderbrook (CD 11)","1,312",939,6,"2,257"
"Fairfax County",-,"731 - Tysons (CD 11)","1,104",653,6,"1,763"
"Fairfax County",-,"732 - Oak Marr (CD 11)","1,297","1,115",2,"2,414"
"Fairfax County",-,"733 - Kilmer (CD 11)","1,705",932,5,"2,642"
"Fairfax County",-,"734 - Hunters Branch (CD 11)",786,390,5,"1,181"
"Fairfax County",-,"801 - Burke (CD 11)","1,959","1,068",10,"3,037"
"Fairfax County",-,"802 - Cedar Lake (CD 11)",512,329,3,844
"Fairfax County",-,"803 - Clifton (CD 10)","1,121","1,655",7,"2,783"
"Fairfax County",-,"804 - Colchester (CD 10)",607,637,2,"1,246"
"Fairfax County",-,"805 - Fairfax Station (CD 10)",508,584,0,"1,092"
"Fairfax County",-,"806 - Sydenstricker (CD 11)","1,193",968,5,"2,166"
"Fairfax County",-,"807 - Hunt Valley (CD 11)",802,676,7,"1,485"
"Fairfax County",-,"811 - Pohick (CD 11)",914,452,11,"1,377"
"Fairfax County",-,"812 - Valley (CD 11)","1,067",779,5,"1,851"
"Fairfax County",-,"815 - Woodyard (CD 10)",806,"1,054",3,"1,863"
"Fairfax County",-,"824 - Orange (CD 11)","1,399","1,278",9,"2,686"
"Fairfax County",-,"825 - Cherry Run (CD 11)",979,861,5,"1,845"
"Fairfax County",-,"827 - Irving (CD 11)",961,726,5,"1,692"
"Fairfax County",-,"833 - White Oaks (CD 11)","1,258",815,6,"2,079"
"Fairfax County",-,"838 - Sangster (CD 10)",735,774,3,"1,512"
"Fairfax County",-,"839 - Silverbrook (CD 10)","1,097","1,284",8,"2,389"
"Fairfax County",-,"840 - West Springfield (CD 11)","1,130",842,3,"1,975"
"Fairfax County",-,"841 - Popes Head (CD 10)",430,609,5,"1,044"
"Fairfax County",-,"842 - Parkway (CD 11)",775,789,8,"1,572"
"Fairfax County",-,"843 - Fair Lakes (CD 11)","1,295",860,2,"2,157"
"Fairfax County",-,"844 - Centerpointe (CD 11)","1,191",623,6,"1,820"
"Fairfax County",-,"845 - Fountainhead (CD 10)","1,113","1,455",10,"2,578"
"Fairfax County",-,"846 - Greenbriar East (CD 11)","1,416",844,5,"2,265"
"Fairfax County",-,"847 - Greenbriar West (CD 10)",873,672,8,"1,553"
"Fairfax County",-,"848 - Fair Oaks (CD 11)","1,253",779,6,"2,038"
"Fairfax County",-,"849 - Newgate North (CD 10)",602,563,2,"1,167"
"Fairfax County",-,"850 - South Run (CD 10)",863,"1,101",4,"1,968"
"Fairfax County",-,"851 - Willow Springs (CD 11)",849,915,4,"1,768"
"Fairfax County",-,"854 - Newgate South (CD 10)",847,"1,165",3,"2,015"
"Fairfax County",-,"901 - Centre Ridge (CD 11)","1,839",990,8,"2,837"
"Fairfax County",-,"902 - Brookfield (CD 10)","1,650",965,4,"2,619"
"Fairfax County",-,"903 - Cub Run (CD 10)","1,340","1,149",9,"2,498"
"Fairfax County",-,"904 - Stonecroft (CD 10)",596,582,3,"1,181"
"Fairfax County",-,"905 - Franklin (CD 10)",358,313,1,672
"Fairfax County",-,"908 - Kinross East (CD 10)",896,754,3,"1,653"
"Fairfax County",-,"909 - Kinross West (CD 10)",851,689,1,"1,541"
"Fairfax County",-,"910 - London Towne #1 (CD 11)","1,575",769,5,"2,349"
"Fairfax County",-,"911 - Navy (CD 10)","1,295",955,4,"2,254"
"Fairfax County",-,"913 - Rocky Run (CD 10)","1,402","1,405",4,"2,811"
"Fairfax County",-,"914 - Vale (CD 10)",789,771,2,"1,562"
"Fairfax County",-,"915 - Virginia Run (CD 10)",762,"1,089",4,"1,855"
"Fairfax County",-,"916 - Waples Mill (CD 10)","1,476","1,461",1,"2,938"
"Fairfax County",-,"917 - Stone North (CD 10)",717,557,1,"1,275"
"Fairfax County",-,"918 - Centreville (CD 11)","1,754","1,050",9,"2,813"
"Fairfax County",-,"919 - Green Trails (CD 11)","1,662","1,019",3,"2,684"
"Fairfax County",-,"920 - Chantilly (CD 10)","1,108",799,5,"1,912"
"Fairfax County",-,"921 - Deer Park (CD 10)","1,097","1,059",3,"2,159"
"Fairfax County",-,"923 - Bull Run (CD 10)",413,564,0,977
"Fairfax County",-,"924 - London Towne #2 (CD 11)",338,126,2,466
"Fairfax County",-,"925 - Old Mill (CD 10)",748,487,5,"1,240"
"Fairfax County",-,"926 - Powell (CD 11)","1,874","1,020",4,"2,898"
"Fairfax County",-,"927 - Lees Corner #1 (CD 10)",787,525,6,"1,318"
"Fairfax County",-,"928 - Poplar Tree (CD 10)",973,906,2,"1,881"
"Fairfax County",-,"929 - Difficult Run (CD 10)",212,266,0,478
"Fairfax County",-,"930 - Lees Corner #2 (CD 10)",839,656,2,"1,497"
"Fairfax County",-,"931 - Carson (CD 10)",773,547,1,"1,321"
"Fairfax County",-,"932 - Stone South (CD 10)",702,425,2,"1,129"
"Fairfax County",-,"933 - Compton (CD 11)",273,226,0,499
"Fairfax County",-,"Ab - Central Absentee Precinct (CD 10)","11,070","9,506",27,"20,603"
"Fairfax County",-,"Ab - Central Absentee Precinct (CD 11)","25,088","13,533",49,"38,670"
"Fairfax County",-,"Ab - Central Absentee Precinct (CD 8)","18,019","8,025",66,"26,110"
"Fairfax County",-,"Provisional (CD 10)",137,83,227,447
"Fairfax County",-,"Provisional (CD 11)",322,170,512,"1,004"
"Fairfax County",-,"Provisional (CD 8)",224,95,338,657
"Fairfax City",-,"1 - One",860,578,2,"1,440"
"Fairfax City",-,"2 - Two",844,667,6,"1,517"
"Fairfax City",-,"3 - Three","1,242",886,9,"2,137"
"Fairfax City",-,"4 - Four",975,675,3,"1,653"
"Fairfax City",-,"5 - Five",870,594,3,"1,467"
"Fairfax City",-,"6 - Six",846,575,1,"1,422"
"Fairfax City",-,"Ab - Central Absentee Precinct","1,076",697,2,"1,775"
"Fairfax City",-,Provisional,15,10,0,25
"Falls Church City",-,"1 - First Ward","1,266",619,3,"1,888"
"Falls Church City",-,"2 - Second Ward",916,409,2,"1,327"
"Falls Church City",-,"3 - Third Ward","1,212",609,6,"1,827"
"Falls Church City",-,"Ab - Central Absentee Precinct","1,743",408,2,"2,153"
"Falls Church City",-,Provisional,10,6,16,32
"Fauquier County",-,"101 - Kettle Run (CD 5)",288,562,0,850
"Fauquier County",-,"102 - Catlett (CD 1)",655,"1,386",2,"2,043"
"Fauquier County",-,"103 - Casanova (CD 5)",384,479,0,863
"Fauquier County",-,"104 - Lois (CD 1)",293,543,0,836
"Fauquier County",-,"105 - Opal (CD 5)",304,554,0,858
"Fauquier County",-,"106 - Baldwin Ridge (CD 5)",438,666,4,"1,108"
"Fauquier County",-,"201 - Courthouse (CD 5)","1,069","1,103",13,"2,185"
"Fauquier County",-,"202 - Airlie (CD 5)",734,"1,065",4,"1,803"
"Fauquier County",-,"203 - Warrenton (CD 5)",996,"1,024",3,"2,023"
"Fauquier County",-,"301 - Morrisville (CD 1)",456,915,3,"1,374"
"Fauquier County",-,"302 - Remington (CD 5)",813,"1,099",5,"1,917"
"Fauquier County",-,"303 - Bealeton (CD 1)",962,"1,274",7,"2,243"
"Fauquier County",-,"401 - Marshall (CD 5)",768,"1,079",4,"1,851"
"Fauquier County",-,"402 - Leeds (CD 5)",811,904,3,"1,718"
"Fauquier County",-,"403 - Waterloo (CD 5)",789,"1,335",1,"2,125"
"Fauquier County",-,"404 - Springs Valley (CD 5)",378,545,0,923
"Fauquier County",-,"501 - The Plains (CD 5)",784,789,2,"1,575"
"Fauquier County",-,"502 - New Baltimore (CD 5)",613,"1,089",3,"1,705"
"Fauquier County",-,"503 - Broad Run (CD 5)",587,"1,001",3,"1,591"
"Fauquier County",-,"504 - Vint Hill (CD 5)",848,"1,388",6,"2,242"
"Fauquier County",-,"Ab - Central Absentee Precinct (CD 1)",147,249,1,397
"Fauquier County",-,"Ab - Central Absentee Precinct (CD 5)","1,227","1,684",4,"2,915"
"Fauquier County",-,"Provisional (CD 1)",2,3,5,10
"Fauquier County",-,"Provisional (CD 5)",5,9,14,28
"Floyd County",-,"101 - Locust Grove",516,847,2,"1,365"
"Floyd County",-,"201 - Little River",618,865,5,"1,488"
"Floyd County",-,"301 - Courthouse",628,685,1,"1,314"
"Floyd County",-,"401 - Burks Fork",456,846,2,"1,304"
"Floyd County",-,"501 - Indian Valley",388,948,1,"1,337"
"Floyd County",-,"Ab - Central Absentee Precinct",361,358,1,720
"Floyd County",-,Provisional,1,2,3,6
"Fluvanna County",-,"101 - Palmyra","1,202","1,309",2,"2,513"
"Fluvanna County",-,"201 - Columbia",809,848,2,"1,659"
"Fluvanna County",-,"301 - Fork Union","1,069",842,3,"1,914"
"Fluvanna County",-,"401 - Cunningham",827,"1,471",8,"2,306"
"Fluvanna County",-,"501 - Rivanna","1,199","1,365",2,"2,566"
"Fluvanna County",-,"Ab - Central Absentee Precinct",831,780,2,"1,613"
"Fluvanna County",-,Provisional,8,3,0,11
"Franklin County",-,"102 - Burnt Chimney",589,"1,089",2,"1,680"
"Franklin County",-,"103 - Scruggs",760,"1,859",7,"2,626"
"Franklin County",-,"201 - Glade Hill",477,890,0,"1,367"
"Franklin County",-,"202 - Penhook",390,705,0,"1,095"
"Franklin County",-,"203 - Hodgesville",98,157,1,256
"Franklin County",-,"204 - Dudley",339,560,3,902
"Franklin County",-,"301 - Snow Creek",245,446,2,693
"Franklin County",-,"302 - Fork Mountain",206,378,1,585
"Franklin County",-,"303 - Sontag",655,582,2,"1,239"
"Franklin County",-,"304 - Dickinson",287,258,1,546
"Franklin County",-,"401 - Henry",353,856,1,"1,210"
"Franklin County",-,"402 - Ferrum",243,418,0,661
"Franklin County",-,"403 - Endicott",238,428,0,666
"Franklin County",-,"501 - Waidsboro",286,522,0,808
"Franklin County",-,"502 - Callaway",379,768,1,"1,148"
"Franklin County",-,"503 - Bowmans",240,367,1,608
"Franklin County",-,"504 - Gogginsville",324,596,0,920
"Franklin County",-,"601 - Boones Mill",498,970,2,"1,470"
"Franklin County",-,"602 - Bonbrook",479,857,2,"1,338"
"Franklin County",-,"603 - Coopers Cove",296,688,2,986
"Franklin County",-,"701 - Rocky Mount East",672,765,2,"1,439"
"Franklin County",-,"702 - Rocky Mount West",550,502,0,"1,052"
"Franklin County",-,"703 - Rocky Mount South",439,466,1,906
"Franklin County",-,"Ab - Central Absentee Precinct",825,"1,350",9,"2,184"
"Franklin County",-,Provisional,2,1,3,6
"Franklin City",-,"101 - Precinct 1-1",292,496,0,788
"Franklin City",-,"201 - Precinct 2-1",318,363,3,684
"Franklin City",-,"301 - Precinct 3-1",440,41,0,481
"Franklin City",-,"401 - Precinct 4-1",477,53,0,530
"Franklin City",-,"501 - Precinct 5-1",518,18,0,536
"Franklin City",-,"601 - Precinct 6-1",375,291,1,667
"Franklin City",-,"Ab - Central Absentee Precinct",229,202,0,431
"Franklin City",-,Provisional,2,0,0,2
"Frederick County",-,"101 - Russells",408,982,1,"1,391"
"Frederick County",-,"102 - Gore",565,"1,076",1,"1,642"
"Frederick County",-,"103 - Kernstown",654,"1,170",3,"1,827"
"Frederick County",-,"104 - Cedar Creek",417,684,3,"1,104"
"Frederick County",-,"201 - Gainesborough",282,670,1,953
"Frederick County",-,"202 - Albin",499,975,2,"1,476"
"Frederick County",-,"203 - Redland",650,"1,257",4,"1,911"
"Frederick County",-,"204 - Nain",447,917,4,"1,368"
"Frederick County",-,"301 - Clear Brook",350,623,0,973
"Frederick County",-,"302 - Neff's Town",719,936,3,"1,658"
"Frederick County",-,"303 - White Hall",775,"1,476",3,"2,254"
"Frederick County",-,"401 - Carpers Valley",672,"1,044",4,"1,720"
"Frederick County",-,"402 - Shenandoah",333,619,1,953
"Frederick County",-,"403 - Parkin's Mill",629,996,5,"1,630"
"Frederick County",-,"404 - Armel",566,992,2,"1,560"
"Frederick County",-,"501 - Stephens City",660,"1,035",6,"1,701"
"Frederick County",-,"502 - Newtown",755,"1,228",4,"1,987"
"Frederick County",-,"503 - Canterburg",710,"1,118",3,"1,831"
"Frederick County",-,"601 - Millbrook",515,784,3,"1,302"
"Frederick County",-,"602 - Ash Hollow",710,895,4,"1,609"
"Frederick County",-,"603 - Greenwood","1,049","1,481",4,"2,534"
"Frederick County",-,"Ab - Central Absentee Precinct",970,"1,495",4,"2,469"
"Frederick County",-,Provisional,7,11,0,18
"Fredericksburg City",-,"101 - Precinct 1 - District One","1,476","1,094",9,"2,579"
"Fredericksburg City",-,"201 - Precinct 1 - District Two","1,814",935,9,"2,758"
"Fredericksburg City",-,"301 - Precinct 1 - District Three","1,335",955,6,"2,296"
"Fredericksburg City",-,"401 - Precinct 1 - District Four","1,132",283,7,"1,422"
"Fredericksburg City",-,"402 - Precinct 2 - District Four",672,231,2,905
"Fredericksburg City",-,"Ab - Central Absentee Precinct",788,452,3,"1,243"
"Fredericksburg City",-,Provisional,16,7,0,23
"Galax City",-,"1 - East",433,530,0,963
"Galax City",-,"2 - North",256,343,0,599
"Galax City",-,"3 - South",222,315,1,538
"Galax City",-,"Ab - Central Absentee Precinct",69,120,0,189
"Galax City",-,Provisional,1,1,0,2
"Giles County",-,"101 - Glen Lyn",31,83,0,114
"Giles County",-,"102 - Rich Creek",156,306,1,463
"Giles County",-,"103 - Narrows",536,846,2,"1,384"
"Giles County",-,"201 - Pearisburg",694,"1,257",1,"1,952"
"Giles County",-,"202 - Staffordsville",112,206,0,318
"Giles County",-,"203 - White Gate",60,139,0,199
"Giles County",-,"301 - Eggleston",256,329,2,587
"Giles County",-,"302 - Pembroke",646,778,2,"1,426"
"Giles County",-,"303 - Newport",394,416,1,811
"Giles County",-,"Ab - Central Absentee Precinct",195,278,1,474
"Giles County",-,Provisional,2,2,0,4
"Gloucester County",-,"101 - Harcum",483,870,2,"1,355"
"Gloucester County",-,"102 - Salem",416,763,3,"1,182"
"Gloucester County",-,"103 - Peasley",278,572,1,851
"Gloucester County",-,"201 - Courthouse",564,832,2,"1,398"
"Gloucester County",-,"202 - Botetourt",824,"1,304",5,"2,133"
"Gloucester County",-,"301 - White Marsh",557,"1,039",4,"1,600"
"Gloucester County",-,"302 - Roanes",754,"1,305",1,"2,060"
"Gloucester County",-,"401 - Hayes",703,"1,061",3,"1,767"
"Gloucester County",-,"402 - Sarahs Creek",673,986,3,"1,662"
"Gloucester County",-,"501 - Achilles",736,"1,547",2,"2,285"
"Gloucester County",-,"502 - Walker",582,911,3,"1,496"
"Gloucester County",-,"Ab - Central Absentee Precinct",620,846,0,"1,466"
"Gloucester County",-,Provisional,5,8,0,13
"Goochland County",-,"101 - Fife",404,486,1,891
"Goochland County",-,"102 - Hadensville",552,855,2,"1,409"
"Goochland County",-,"201 - Three Square",254,177,1,432
"Goochland County",-,"202 - Sandy Hook",851,961,5,"1,817"
"Goochland County",-,"301 - Goochland Court House 1",475,686,2,"1,163"
"Goochland County",-,"302 - Goochland Court House 2",187,330,3,520
"Goochland County",-,"402 - Centerville",918,"1,699",4,"2,621"
"Goochland County",-,"501 - Manakin",596,"1,250",1,"1,847"
"Goochland County",-,"502 - Blair Road",294,739,0,"1,033"
"Goochland County",-,"Ab - Central Absentee Precinct",513,893,5,"1,411"
"Goochland County",-,Provisional,6,6,0,12
"Grayson County",-,"101 - Bridle Creek",109,134,0,243
"Grayson County",-,"102 - Flatridge",55,103,0,158
"Grayson County",-,"103 - Grant",110,168,0,278
"Grayson County",-,"104 - Mouth Of Wilson",71,109,0,180
"Grayson County",-,"105 - Mount Rogers",64,173,0,237
"Grayson County",-,"106 - Rugby",58,133,0,191
"Grayson County",-,"107 - Troutdale",46,85,0,131
"Grayson County",-,"108 - Comers Rock",69,126,0,195
"Grayson County",-,"202 - Elk Creek",133,316,0,449
"Grayson County",-,"203 - Independence",435,723,0,"1,158"
"Grayson County",-,"301 - Baywood",226,460,0,686
"Grayson County",-,"302 - Fairview",279,683,0,962
"Grayson County",-,"401 - Fries",152,234,0,386
"Grayson County",-,"402 - Providence",214,563,0,777
"Grayson County",-,"403 - Oldtown",124,243,0,367
"Grayson County",-,"Ab - Central Absentee Precinct",253,404,0,657
"Greene County",-,"101 - Dyke",243,581,1,825
"Greene County",-,"102 - Swift Run",455,748,0,"1,203"
"Greene County",-,"201 - Ruckersville",780,"1,125",1,"1,906"
"Greene County",-,"301 - Stanardsville",667,"1,158",2,"1,827"
"Greene County",-,"401 - Midway",820,"1,351",2,"2,173"
"Greene County",-,"Ab - Central Absentee Precinct",407,583,0,990
"Greene County",-,Provisional,2,6,0,8
"Greensville County",-,"101 - Precinct 1-a",349,157,0,506
"Greensville County",-,"102 - Precinct 1-b",107,111,0,218
"Greensville County",-,"103 - Precinct 1-c",313,65,0,378
"Greensville County",-,"201 - Precinct 2-a",439,172,0,611
"Greensville County",-,"202 - Precinct 2-b",331,374,1,706
"Greensville County",-,"302 - Precinct 3-a",858,404,0,"1,262"
"Greensville County",-,"401 - Precinct 4-a",138,191,0,329
"Greensville County",-,"402 - Precinct 4-b",360,188,1,549
"Greensville County",-,"403 - Precinct 4-c",116,131,0,247
"Greensville County",-,Provisional,3,1,0,4
"Halifax County",-,"101 - Childrey",341,389,1,731
"Halifax County",-,"102 - Liberty",176,187,3,366
"Halifax County",-,"103 - Republican Grove",415,354,3,772
"Halifax County",-,"201 - Clays Mill",178,331,2,511
"Halifax County",-,"202 - Crossroads",230,278,0,508
"Halifax County",-,"203 - Clover",436,388,1,825
"Halifax County",-,"302 - Meadville",254,90,0,344
"Halifax County",-,"304 - Vernon Hill",229,310,1,540
"Halifax County",-,"305 - Sinai",729,367,2,"1,098"
"Halifax County",-,"401 - Courthouse",505,447,3,955
"Halifax County",-,"403 - Center",313,628,1,942
"Halifax County",-,"502 - Dan River",429,818,2,"1,249"
"Halifax County",-,"503 - Scottsburg",177,417,1,595
"Halifax County",-,"601 - Black Walnut",249,427,0,676
"Halifax County",-,"603 - Mt Carmel",539,517,3,"1,059"
"Halifax County",-,"605 - Union",131,184,0,315
"Halifax County",-,"701 - Hyco",277,680,1,958
"Halifax County",-,"702 - Midway",144,556,0,700
"Halifax County",-,"703 - Virgilina",123,362,0,485
"Halifax County",-,"801 - South Boston East",692,270,2,964
"Halifax County",-,"802 - South Boston West",399,170,0,569
"Halifax County",-,"Ab - Central Absentee Precinct",679,705,0,"1,384"
"Halifax County",-,Provisional,4,3,0,7
"Hampton City",-,"101 - Aberdeen (CD 3)","1,351",252,8,"1,611"
"Hampton City",-,"102 - Bassette (CD 3)","1,822",122,1,"1,945"
"Hampton City",-,"103 - City Hall (CD 3)","1,190",219,2,"1,411"
"Hampton City",-,"104 - Cooper (CD 3)","2,311",399,6,"2,716"
"Hampton City",-,"105 - East Hampton (CD 3)","1,981",278,3,"2,262"
"Hampton City",-,"106 - Armstrong (CD 3)","1,353",689,2,"2,044"
"Hampton City",-,"107 - Lindsay (CD 3)","1,351",308,2,"1,661"
"Hampton City",-,"108 - Thomas (CD 3)","2,303",282,8,"2,593"
"Hampton City",-,"109 - Phenix (CD 3)","2,150",134,6,"2,290"
"Hampton City",-,"110 - Phoebus (CD 3)",395,184,2,581
"Hampton City",-,"111 - Hampton Library (CD 3)",518,331,1,850
"Hampton City",-,"112 - Smith (CD 3)","1,898",639,4,"2,541"
"Hampton City",-,"115 - Wythe (CD 3)",653,491,4,"1,148"
"Hampton City",-,"116 - Jones (CD 3)",816,213,3,"1,032"
"Hampton City",-,"117 - Kecoughtan (CD 3)","1,303",424,4,"1,731"
"Hampton City",-,"118 - Mallory (CD 3)","2,024",262,2,"2,288"
"Hampton City",-,"201 - Booker (CD 2)","1,186","1,082",3,"2,271"
"Hampton City",-,"202 - Bryan (CD 2)","1,127",863,7,"1,997"
"Hampton City",-,"203 - Burbank (CD 2)",927,612,9,"1,548"
"Hampton City",-,"204 - Forrest (CD 3)","1,188",606,5,"1,799"
"Hampton City",-,"205 - Asbury (CD 2)","1,271","1,753",3,"3,027"
"Hampton City",-,"208 - Kraft (CD 3)","1,876","1,214",6,"3,096"
"Hampton City",-,"209 - Langley (CD 2)","1,185",785,6,"1,976"
"Hampton City",-,"210 - Machen (CD 2)","2,029",647,9,"2,685"
"Hampton City",-,"210 - Machen (CD 3)",6,5,0,11
"Hampton City",-,"212 - Bethel (CD 3)","1,961",865,7,"2,833"
"Hampton City",-,"213 - Phillips (CD 2)","1,382","1,584",8,"2,974"
"Hampton City",-,"214 - Tucker Capps (CD 3)","1,529",877,2,"2,408"
"Hampton City",-,"215 - Tyler (CD 3)",524,120,2,646
"Hampton City",-,"216 - Sandy Bottom (CD 2)",948,452,7,"1,407"
"Hampton City",-,"217 - Syms (CD 2)",495,535,0,"1,030"
"Hampton City",-,"Ab - Central Absentee Precinct (CD 2)","1,251",717,5,"1,973"
"Hampton City",-,"Ab - Central Absentee Precinct (CD 3)","4,078",773,9,"4,860"
"Hampton City",-,"Provisional (CD 2)",15,8,0,23
"Hampton City",-,"Provisional (CD 3)",35,7,0,42
"Hanover County",-,"101 - Ashland",787,622,6,"1,415"
"Hanover County",-,"104 - Sliding Hill",652,899,2,"1,553"
"Hanover County",-,"105 - Berkley",864,474,1,"1,339"
"Hanover County",-,"106 - Kersey Creek",342,629,2,973
"Hanover County",-,"107 - Chickahominy",463,807,1,"1,271"
"Hanover County",-,"201 - Beaverdam",660,"1,439",6,"2,105"
"Hanover County",-,"202 - Blunts",405,591,4,"1,000"
"Hanover County",-,"203 - Wilmington Parish",449,"1,017",2,"1,468"
"Hanover County",-,"206 - Courthouse",332,495,5,832
"Hanover County",-,"208 - Oak Knoll",437,857,4,"1,298"
"Hanover County",-,"209 - West Hanover",170,245,1,416
"Hanover County",-,"210 - Oak Hill",143,351,0,494
"Hanover County",-,"301 - Clay",575,"1,283",3,"1,861"
"Hanover County",-,"303 - Shady Grove",487,"1,093",5,"1,585"
"Hanover County",-,"304 - Atlee","1,023","1,824",6,"2,853"
"Hanover County",-,"305 - Cool Spring",665,"1,184",4,"1,853"
"Hanover County",-,"401 - Battlefield",451,"1,540",9,"2,000"
"Hanover County",-,"403 - Cold Harbor",756,"1,607",4,"2,367"
"Hanover County",-,"404 - Black Creek",453,"1,604",2,"2,059"
"Hanover County",-,"405 - Pebble Creek",412,754,1,"1,167"
"Hanover County",-,"406 - Beaverdam Creek",181,285,1,467
"Hanover County",-,"502 - Rural Point",483,"1,170",2,"1,655"
"Hanover County",-,"503 - Newman",563,"1,006",5,"1,574"
"Hanover County",-,"504 - Studley",244,946,4,"1,194"
"Hanover County",-,"505 - Totopotomoy",263,726,0,989
"Hanover County",-,"506 - Georgetown",374,909,3,"1,286"
"Hanover County",-,"507 - Laurel Meadow",559,"1,082",4,"1,645"
"Hanover County",-,"601 - Village",764,"1,858",6,"2,628"
"Hanover County",-,"602 - Lee Davis",646,"1,338",2,"1,986"
"Hanover County",-,"603 - Mechanicsville",663,863,4,"1,530"
"Hanover County",-,"604 - Hanover Grove",357,867,2,"1,226"
"Hanover County",-,"701 - Farrington",548,"1,155",6,"1,709"
"Hanover County",-,"702 - Montpelier",615,990,1,"1,606"
"Hanover County",-,"703 - Rockville",551,"1,142",3,"1,696"
"Hanover County",-,"704 - Elmont",704,"1,228",4,"1,936"
"Hanover County",-,"705 - South Anna",331,616,1,948
"Hanover County",-,"Ab - Central Absentee Precinct","1,623","2,915",11,"4,549"
"Hanover County",-,Provisional,8,21,33,62
"Harrisonburg City",-,"101 - Northeast","1,284",808,4,"2,096"
"Harrisonburg City",-,"102 - East Central","1,346",900,6,"2,252"
"Harrisonburg City",-,"103 - Southeast","1,107",935,4,"2,046"
"Harrisonburg City",-,"104 - East","1,044",961,3,"2,008"
"Harrisonburg City",-,"201 - Northwest","1,010",876,3,"1,889"
"Harrisonburg City",-,"202 - Southwest","1,079",864,6,"1,949"
"Harrisonburg City",-,"203 - West","1,012",756,3,"1,771"
"Harrisonburg City",-,"Ab - Central Absentee Precinct",620,580,2,"1,202"
"Harrisonburg City",-,Provisional,5,1,0,6
"Henrico County",-,"101 - Coalpit (CD 7)","1,217","1,381",1,"2,599"
"Henrico County",-,"102 - Dumbarton (CD 7)","1,696",634,3,"2,333"
"Henrico County",-,"103 - Glen Allen (CD 7)","1,124","1,469",2,"2,595"
"Henrico County",-,"104 - Glenside (CD 7)","1,110",298,1,"1,409"
"Henrico County",-,"105 - Greendale (CD 7)",635,509,2,"1,146"
"Henrico County",-,"106 - Hermitage (CD 7)","1,236",950,5,"2,191"
"Henrico County",-,"107 - Hilliard (CD 7)",484,363,2,849
"Henrico County",-,"108 - Hungary Creek (CD 7)","1,316","1,481",7,"2,804"
"Henrico County",-,"109 - Hunton (CD 7)",271,444,1,716
"Henrico County",-,"110 - Johnson (CD 7)",404,315,3,722
"Henrico County",-,"111 - Lakeside (CD 7)",948,829,5,"1,782"
"Henrico County",-,"112 - Longan (CD 7)","1,002","1,055",3,"2,060"
"Henrico County",-,"113 - Maude Trevvett (CD 7)",399,415,1,815
"Henrico County",-,"114 - Monument Hills (CD 7)",376,416,1,793
"Henrico County",-,"115 - Staples Mill (CD 7)","1,315","1,627",7,"2,949"
"Henrico County",-,"116 - Summit Court (CD 7)",515,438,4,957
"Henrico County",-,"117 - Westwood (CD 7)",705,601,3,"1,309"
"Henrico County",-,"201 - Adams (CD 3)","1,207",80,0,"1,287"
"Henrico County",-,"202 - Azalea (CD 3)","2,190",156,1,"2,347"
"Henrico County",-,"203 - Belmont (CD 7)","1,096",547,5,"1,648"
"Henrico County",-,"204 - Brookland (CD 7)",262,207,3,472
"Henrico County",-,"205 - Canterbury (CD 7)",263,398,0,661
"Henrico County",-,"206 - Central Gardens (CD 3)","1,928",43,2,"1,973"
"Henrico County",-,"207 - Chamberlayne (CD 7)","1,342",430,2,"1,774"
"Henrico County",-,"208 - Fairfield (CD 3)","1,513",81,4,"1,598"
"Henrico County",-,"209 - Glen Lea (CD 3)","1,003",202,3,"1,208"
"Henrico County",-,"210 - Greenwood (CD 7)",867,219,2,"1,088"
"Henrico County",-,"211 - Highland Gardens (CD 3)","1,397",72,1,"1,470"
"Henrico County",-,"212 - Hollybrook (CD 7)",384,168,0,552
"Henrico County",-,"213 - Hungary (CD 7)",889,202,0,"1,091"
"Henrico County",-,"214 - Longdale (CD 7)",695,406,4,"1,105"
"Henrico County",-,"215 - Maplewood (CD 3)","1,795",94,1,"1,890"
"Henrico County",-,"216 - Moody (CD 7)",420,345,2,767
