county,precinct,office,district,party,candidate,votes
ALEXANDRIA CITY,107 - MT VERNON RECREATION CENTER,Governor,,REP,"Kenneth Thomas Cuccinelli, II",360
ALEXANDRIA CITY,107 - MT VERNON RECREATION CENTER,Governor,,LIB,Robert Christopher Sarvis,112
ALEXANDRIA CITY,107 - MT VERNON RECREATION CENTER,Governor,,DEM,Terence Richard McAuliffe,1608
ALEXANDRIA CITY,108 - GEORGE WASHINGTON MIDDLE SCH,Governor,,OTH,All Others,9
ALEXANDRIA CITY,108 - GEORGE WASHINGTON MIDDLE SCH,Governor,,REP,"Kenneth Thomas Cuccinelli, II",330
ALEXANDRIA CITY,108 - GEORGE WASHINGTON MIDDLE SCH,Governor,,LIB,Robert Christopher Sarvis,101
ALEXANDRIA CITY,108 - GEORGE WASHINGTON MIDDLE SCH,Governor,,DEM,Terence Richard McAuliffe,1493
ALEXANDRIA CITY,109 - FIRE DEPARTMENT HEADQUARTERS,Governor,,OTH,All Others,8
ALEXANDRIA CITY,109 - FIRE DEPARTMENT HEADQUARTERS,Governor,,REP,"Kenneth Thomas Cuccinelli, II",415
ALEXANDRIA CITY,109 - FIRE DEPARTMENT HEADQUARTERS,Governor,,LIB,Robert Christopher Sarvis,117
ALEXANDRIA CITY,109 - FIRE DEPARTMENT HEADQUARTERS,Governor,,DEM,Terence Richard McAuliffe,1108
ALEXANDRIA CITY,201 - MAURY SCHOOL,Governor,,OTH,All Others,15
ALEXANDRIA CITY,201 - MAURY SCHOOL,Governor,,REP,"Kenneth Thomas Cuccinelli, II",327
ALEXANDRIA CITY,201 - MAURY SCHOOL,Governor,,LIB,Robert Christopher Sarvis,67
ALEXANDRIA CITY,201 - MAURY SCHOOL,Governor,,DEM,Terence Richard McAuliffe,1126
ALEXANDRIA CITY,202 - GEORGE MASON SCHOOL,Governor,,OTH,All Others,11
ALEXANDRIA CITY,202 - GEORGE MASON SCHOOL,Governor,,REP,"Kenneth Thomas Cuccinelli, II",461
ALEXANDRIA CITY,202 - GEORGE MASON SCHOOL,Governor,,LIB,Robert Christopher Sarvis,86
ALEXANDRIA CITY,202 - GEORGE MASON SCHOOL,Governor,,DEM,Terence Richard McAuliffe,960
ALEXANDRIA CITY,203 - AGUDAS ACHIM SYNAGOGUE,Governor,,OTH,All Others,6
ALEXANDRIA CITY,203 - AGUDAS ACHIM SYNAGOGUE,Governor,,REP,"Kenneth Thomas Cuccinelli, II",284
ALEXANDRIA CITY,203 - AGUDAS ACHIM SYNAGOGUE,Governor,,LIB,Robert Christopher Sarvis,95
ALEXANDRIA CITY,203 - AGUDAS ACHIM SYNAGOGUE,Governor,,DEM,Terence Richard McAuliffe,1059
ALEXANDRIA CITY,204 - BLESSED SACRAMENT CHURCH,Governor,,OTH,All Others,7
ALEXANDRIA CITY,204 - BLESSED SACRAMENT CHURCH,Governor,,REP,"Kenneth Thomas Cuccinelli, II",398
ALEXANDRIA CITY,204 - BLESSED SACRAMENT CHURCH,Governor,,LIB,Robert Christopher Sarvis,83
ALEXANDRIA CITY,204 - BLESSED SACRAMENT CHURCH,Governor,,DEM,Terence Richard McAuliffe,982
ALEXANDRIA CITY,205 - DOUGLAS MACARTHUR SCHOOL,Governor,,OTH,All Others,14
ALEXANDRIA CITY,205 - DOUGLAS MACARTHUR SCHOOL,Governor,,REP,"Kenneth Thomas Cuccinelli, II",469
ALEXANDRIA CITY,205 - DOUGLAS MACARTHUR SCHOOL,Governor,,LIB,Robert Christopher Sarvis,90
ALEXANDRIA CITY,205 - DOUGLAS MACARTHUR SCHOOL,Governor,,DEM,Terence Richard McAuliffe,1101
ALEXANDRIA CITY,206 - CHINQUAPIN PARK RECREATION CTR,Governor,,OTH,All Others,7
ALEXANDRIA CITY,206 - CHINQUAPIN PARK RECREATION CTR,Governor,,REP,"Kenneth Thomas Cuccinelli, II",313
ALEXANDRIA CITY,206 - CHINQUAPIN PARK RECREATION CTR,Governor,,LIB,Robert Christopher Sarvis,39
ALEXANDRIA CITY,206 - CHINQUAPIN PARK RECREATION CTR,Governor,,DEM,Terence Richard McAuliffe,853
ALEXANDRIA CITY,207 - TEMPLE BETH EL SYNAGOGUE,Governor,,OTH,All Others,14
ALEXANDRIA CITY,207 - TEMPLE BETH EL SYNAGOGUE,Governor,,REP,"Kenneth Thomas Cuccinelli, II",488
ALEXANDRIA CITY,207 - TEMPLE BETH EL SYNAGOGUE,Governor,,LIB,Robert Christopher Sarvis,83
ALEXANDRIA CITY,207 - TEMPLE BETH EL SYNAGOGUE,Governor,,DEM,Terence Richard McAuliffe,1174
ALEXANDRIA CITY,208 - NOVA ARTS CENTER,Governor,,OTH,All Others,5
ALEXANDRIA CITY,208 - NOVA ARTS CENTER,Governor,,REP,"Kenneth Thomas Cuccinelli, II",274
ALEXANDRIA CITY,208 - NOVA ARTS CENTER,Governor,,LIB,Robert Christopher Sarvis,61
ALEXANDRIA CITY,208 - NOVA ARTS CENTER,Governor,,DEM,Terence Richard McAuliffe,859
ALEXANDRIA CITY,209 - JAMES K POLK SCHOOL,Governor,,OTH,All Others,3
ALEXANDRIA CITY,209 - JAMES K POLK SCHOOL,Governor,,REP,"Kenneth Thomas Cuccinelli, II",329
ALEXANDRIA CITY,209 - JAMES K POLK SCHOOL,Governor,,LIB,Robert Christopher Sarvis,85
ALEXANDRIA CITY,209 - JAMES K POLK SCHOOL,Governor,,DEM,Terence Richard McAuliffe,1226
ALEXANDRIA CITY,210 - ST JAMES CHURCH,Governor,,OTH,All Others,4
ALEXANDRIA CITY,210 - ST JAMES CHURCH,Governor,,REP,"Kenneth Thomas Cuccinelli, II",208
ALEXANDRIA CITY,210 - ST JAMES CHURCH,Governor,,LIB,Robert Christopher Sarvis,36
ALEXANDRIA CITY,210 - ST JAMES CHURCH,Governor,,DEM,Terence Richard McAuliffe,556
ALEXANDRIA CITY,302 - PATRICK HENRY REC CENTER,Governor,,OTH,All Others,3
ALEXANDRIA CITY,302 - PATRICK HENRY REC CENTER,Governor,,REP,"Kenneth Thomas Cuccinelli, II",174
ALEXANDRIA CITY,302 - PATRICK HENRY REC CENTER,Governor,,LIB,Robert Christopher Sarvis,31
ALEXANDRIA CITY,302 - PATRICK HENRY REC CENTER,Governor,,DEM,Terence Richard McAuliffe,759
ALEXANDRIA CITY,303 - CHARLES E BEATLEY LIBRARY,Governor,,OTH,All Others,3
ALEXANDRIA CITY,303 - CHARLES E BEATLEY LIBRARY,Governor,,REP,"Kenneth Thomas Cuccinelli, II",216
ALEXANDRIA CITY,303 - CHARLES E BEATLEY LIBRARY,Governor,,LIB,Robert Christopher Sarvis,48
ALEXANDRIA CITY,303 - CHARLES E BEATLEY LIBRARY,Governor,,DEM,Terence Richard McAuliffe,954
ALEXANDRIA CITY,304 - SAMUEL TUCKER SCHOOL,Governor,,OTH,All Others,3
ALEXANDRIA CITY,304 - SAMUEL TUCKER SCHOOL,Governor,,REP,"Kenneth Thomas Cuccinelli, II",252
ALEXANDRIA CITY,304 - SAMUEL TUCKER SCHOOL,Governor,,LIB,Robert Christopher Sarvis,53
ALEXANDRIA CITY,304 - SAMUEL TUCKER SCHOOL,Governor,,DEM,Terence Richard McAuliffe,1091
